genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Microtus,pinetorum,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,pinetorum|scalopsoides|apella|kennicottii|auricularis|nemoralis|parvulus|schmidti|carbonarius,,Woodland Vole,Mole Mouse|Pine Mouse|Pine Vole,,,,,,,,,,,
Microtus,quasiater,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Arvicola_(Pitymys)_pinetorum_quasiater,,Jalapan Vole,Jalapan Pine Vole,,,,,,,,,,,
Microtus,richardsoni,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,richardsoni|macropus|arvicoloides|principalis|myllodontus,,North American Water Vole,Richardson’s Meadow Vole|Richardson’s Vole|Richardson’s Water Vole,,,,,,,,,,,
Microtus,townsendii,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,townsendii|occidentalis|tetramerus|cummingi|pugeti|laingi|cowani,,Townsend’s Vole,Triangle Island Vole,,,,,,,,,,,
Microtus,umbrosus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Microtus_umbrosus,,Zempoaltepec Vole,,,,,,,,,,,,
Microtus,xanthognathus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,xanthognathus,,Taiga Vole,Chestnut-cheeked Vole|Yellow-cheeked Vole,,,,,,,,,,,
Nelsonia,goldmani,Nelsonia,Nelsonia_goldmani|cliftoni,,Goldman’s Diminutive Woodrat,Nelson and Goldman’s Woodrat,,,,,,,,,,,
Nelsonia,neotomodon,Nelsonia,Nelsonia_neotomodon,,Western Diminutive Woodrat,,,,,,,,,,,,
Neofiber,alleni,Neofiber|Schistodelta,Neofiber_alleni|nigrescens|struix|apalachicolae|exoristus,,Round-tailed Muskrat,,,,,,,,,,,,
Neotoma,albigula,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,angusticeps|Neotoma_albigula|venusta|cumulator|grandis|seri|mearnsi|sheldoni|laplataensis|brevicauda,,White-throated Woodrat,,,,,,,,,,,,
