genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Glaucomys,volans,Glaucomys,volans|volucella|virginianus|americana|cucullatus|querceti|silus|goldmani|nebrascenssi|saturatus|texensis|herreranus|madrensis|underwoodi|chontali|oaxacensis|guerreroensis,,Southern Flying Squirrel,Mexican Flying Squirrel|Florida Flying Squirrel|Small Eastern Flying Squirrel|Southeastern Flying Squirrel|Texas Flying Squirrel,,,,,,,,,,,
Ictidomys,mexicanus,Ictidomys|Ictidomoides,mexicanus,,Mexican Ground Squirrel,,,,,,,,,,,,
Ictidomys,parvidens,Ictidomys|Ictidomoides,Spermophilus_mexicanus_parvidens,,Rio Grande Ground Squirrel,,,,,,,,,,,,
Ictidomys,tridecemlineatus,Ictidomys|Ictidomoides,tridecemlineatus|hoodii|pallidus|olivaceus|parvus|alleni|texensis|badius|hollisteri|arenicola|monticola|blanca,,Thirteen-lined Ground Squirrel,,,,,,,,,,,,
Marmota,broweri,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,broweri,,Alaska Marmot,,,,,,,,,,,,
Marmota,caligata,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,caligata|okanagana|vigilis|sibila|cascadensis|nivaria|oxytona|sheldoni|raceyi,,Hoary Marmot,,,,,,,,,,,,
Marmota,flaviventris,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,flaviventris|dacota|avara|engelhardti|luteola|nosophora|obscura|warreni|capmioni|parvula|sierrae|fortirostris|notioros,,Yellow-bellied Marmot,,,,,,,,,,,,
Marmota,monax,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,monax|canadensis|empetra|sibila|melanopus|ignava|ochracea|preblorum|rufescens|pretensis|bunkeri|johnsoni,,Woodchuck,Groundhog,,,,,,,,,,,
Marmota,olympus,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,Arctomys_olympus,,Olympic Marmot,,,,,,,,,,,,
Marmota,vancouverensis,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,vancouverensis,,Vancouver Island Marmot,,,,,,,,,,,,
Neotamias,alpinus,Neotamias,Tamias_alpinus,,Alpine Chipmunk,,,,,,,,,,,,
Neotamias,amoenus,Neotamias,affinis|luteiventris|Tamias_amoenus|felix|caurinus|canicaudus|ludibundus|propinquus|monoensis|vallicola|ochraceus|cratericus|celeris|septentrionalis|albiventris,,Yellow-pine Chipmunk,,,,,,,,,,,,
Neotamias,bulleri,Neotamias,Tamias_asiaticus_bulleri,,Buller’s Chipmunk,,,,,,,,,,,,
Neotamias,canipes,Neotamias,Eutamias_cinereicollis_canipes|sacramentoensis,,Gray-footed Chipmunk,,,,,,,,,,,,
Neotamias,cinereicollis,Neotamias,Tamias_cinereicollis|cinereus,,Gray-collared Chipmunk,,,,,,,,,,,,
Neotamias,dorsalis,Neotamias,Tamias_dorsalis|utahensis|canescens|grinnelli|carminis|nidoensis|sonoriensis,,Cliff Chipmunk,,,,,,,,,,,,
Neotamias,durangae,Neotamias,Eutamias_durangae|nexus,,Durango Chipmunk,,,,,,,,,,,,
Neotamias,merriami,Neotamias,Tamias_asiaticus_merriami|pricei|kernensis|mariposae,,Merriam’s Chipmunk,,,,,,,,,,,,
Neotamias,minimus,Neotamias,Tamias_minimus|pallidus|borealis|consobrinus|melanurus|neglectus|pictus|oreocetes|caniceps|lectus|operarius|cacodemus|caryi|atristriatus|clarus|arizonensis|confinis|grisescens|jacksoni|scrutator|hudsonius|selkirki|silvaticus|chuskaensis,,Least Chipmunk,Peñasco Least Chipmunk|Selkirk Least Chipmunk,,,,,,,,,,,
Neotamias,obscurus,Neotamias,Tamias_obscurus|meridionalis|davisi,,California Chipmunk,,,,,,,,,,,,
Neotamias,ochrogenys,Neotamias,Eutamias_townsendii_ochrogenys,,Yellow-cheeked Chipmunk,Redwood Chipmunk,,,,,,,,,,,
Neotamias,palmeri,Neotamias,Eutamias_palmeri,,Palmer’s Chipmunk,,,,,,,,,,,,
Neotamias,panamintinus,Neotamias,Tamias_panamintinus|juniperus|acrus,,Panamint Chipmunk,,,,,,,,,,,,
Neotamias,quadrimaculatus,Neotamias,quadrimaculatus|macrorhabdotes,,Long-eared Chipmunk,,,,,,,,,,,,
Neotamias,quadrivittatus,Neotamias,quadrivittatus|gracilis|animosus|australis|oscuraensis,,Colorado Chipmunk,,,,,,,,,,,,
Neotamias,ruficaudus,Neotamias,Eutamias_ruficaudus|simulans,,Red-tailed Chipmunk,,,,,,,,,,,,
Neotamias,rufus,Neotamias,Eutamias_quadrivittatus_rufus,,Hopi Chipmunk,,,,,,,,,,,,
Neotamias,senex,Neotamias,Tamias_senex|pacificus,,Shadow Chipmunk,Allen’s Chipmunk,,,,,,,,,,,
Neotamias,siskiyou,Neotamias,Eutamias_townsendii_siskiyou|humboldti,,Siskiyou Chipmunk,,,,,,,,,,,,
Neotamias,solivagus,Neotamias,Eutamias_bulleri_solivagus,,Sierra del Carmen Chipmunk,,,,,,,,,,,,
Neotamias,sonomae,Neotamias,sonomae|alleni,,Sonoma Chipmunk,,,,,,,,,,,,
Neotamias,speciosus,Neotamias,frater|Tamias_speciosus|callipeplus|sequoiensis,,Lodgepole Chipmunk,,,,,,,,,,,,
Neotamias,townsendii,Neotamias,Tamias_townsendii|hindei|cooperi|littoralis,,Townsend’s Chipmunk,,,,,,,,,,,,
Neotamias,umbrinus,Neotamias,Tamias_umbrinus|inyoensis|adsitus|nevadensis|fremonti|montanus|sedulus,,Uinta Chipmunk,Hidden Forest Uinta Chipmunk|Mount Ellen Uinta Chipmunk,,,,,,,,,,,
Notocitellus,adocetus,Notocitellus,Citellus_adocetus|arceliae|infernatus,,Tropical Ground Squirrel,,,,,,,,,,,,
Notocitellus,annulatus,Notocitellus,annulatus|goldmani,,Ring-tailed Ground Squirrel,,,,,,,,,,,,
Otospermophilus,atricapillus,Otospermophilus,atricapillus,,Baja California Rock Squirrel,,,,,,,,,,,,
Otospermophilus,beecheyi,Otospermophilus,beecheyi|douglasii|fisheri|nesioticus|nudipes|parvulus|rupinarum|sierrae,,California Ground Squirrel,Beechey’s Ground Squirrel|Gray Digger,,,,,,,,,,,
Otospermophilus,variegatus,Otospermophilus,variegatus|grammurus|buccatus|macrourus|couchii|buckleyi|rupestris|utah|juglans|tularosae|robustus|tiburonensis,,Common Rock Squirrel,,,,,,,,,,,,
Poliocitellus,franklinii,Poliocitellus,franklinii,,Franklin’s Ground Squirrel,,,,,,,,,,,,
Sciurus,aberti,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,aberti|dorsalis|castanotus|castanonotus|durangi|ferreus|barberi|kaibabensis|mimus|phaeurus|chuscensis|navajo,,Abert’s Squirrel,Tassel-eared Squirrel|Kaibab Squirrel,,,,,,,,,,,
Sciurus,alleni,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,alleni,,Allen’s Squirrel,,,,,,,,,,,,
Sciurus,arizonensis,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,arizonensis|hauchuca|catallinae,,Arizona Gray Squirrel,,,,,,,,,,,,
Sciurus,aureogaster,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,aureogaster|raviventer|hypopyrrhus|leucogaster|nigrescens|albipes|socialis|ferruginiventris|mustelinus|varius|chrysogaster|hypoxanthus|griseoflavus|maurus|morio|poliopus|rufipes|affinis|rufiventris|cervicalis|nelsoni|cocos|colimensis|effugius|frumentor|nemoralis|quercinsu|wagneri|chiapensis|perigrinator|senex|tepicanus|littoralis,,Red-bellied Squirrel,Mexican Gray Squirrel|Mexican Red-bellied Squirrel,,,,,,,,,,,
Sciurus,carolinensis,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,carolinensis|hiemalis|pennsylvanicus|leucotis|fuliginosus|migratorius|hypophaeus|extimus|matecumbei|minutus,,Eastern Gray Squirrel,,,,,,,,,,,,
Sciurus,colliaei,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,colliaei|nuchalis|sinaloensis|truei,,Collie’s Squirrel,,,,,,,,,,,,
Sciurus,deppei,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,deppei|taeniurus|tephrogaster|negligens|vivax|matagalpae|miravallensis,,Deppe’s Squirrel,,,,,,,,,,,,
Sciurus,griseus,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,griseus|leporinus|fossor|heermanni|nigripes|anthonyi,,Western Gray Squirrel,Silver Gray Squirrel,,,,,,,,,,,
Sciurus,nayaritensis,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,alstoni|nayaritensis|apache|chiricahuae,,Mexican Fox Squirrel,Apache Squirrel|Chiricahua Fox Squirrel|Nayarit Squirrel,,,,,,,,,,,
Sciurus,niger,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,cinereus|niger|vulpinus|capistratus|rufiventer|ludovicianus|ruber|macroura|magnificaudatus|auduboni|subauratus|texianus|rubicaudatus|sayii|limitis|neglectus|vicinus|avicennia|bryanti|bachmani|shermani,,Eastern Fox Squirrel,Bryant’s Fox Squirrel|Cat Squirrel|Delmarva Fox Squirrel|Fox Squirrel|Stump-eared Squirrel|Western Fox Squirrel|Big Cypress Fox Squirrel,,,,,,,,,,,
Sciurus,oculatus,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,capistratus|oculatus|melanonotus|tolucae|shawi,,Peters’s Squirrel,,,,,,,,,,,,
Sciurus,variegatoides,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,variegatoides|adolphei|pyladei|richardsoni|boothiae|griseocaudatus|fuscovariegatus|dorsalis|rigidus|intermedius|melania|nicoyana|goldmani|managuensis|belti|thomasi|annalium|helveolus|bangsi|atrirufus|underwoodi|austini|loweryi|ometepensis,,Variegated Squirrel,,,,,,,,,,,,
Sciurus,yucatanensis,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,Sciurus_carolinensis_yucatanensis|baliolus|phaeopus,,Yucatan Squirrel,,,,,,,,,,,,
Tamias,striatus,Tamias,striatus|americanus|lysteri|griseus|venustus|fisheri|ohioensis|peninsulae|rufescens|pipilans|quebecensis|doorsiensis,,Eastern Chipmunk,,,,,,,,,,,,
Tamiasciurus,douglasii,Tamiasciurus,Sciurus_douglasii|mollipilosus|belcheri|suckleyi|mearnsi|orarius|cascadensis,,Douglas’s Squirrel,Chickaree|Mearn’s Squirrel,,,,,,,,,,,
Tamiasciurus,fremonti,Tamiasciurus,Sciurus_fremonti|grahamensis|neomexicanus|lychnuchus|mogollonensis|sawatchensis,,Fremont’s Squirrel,Southwestern Red Squirrel|Mount Graham Red Squirrel,,,,,,,,,,,
Tamiasciurus,hudsonicus,Tamiasciurus,hudsonicus|rubrolineatus|lanuginosus|richardsoni|vancouverensis|dakotensis|loquax|baileyi|streatori|ventorum|gymnicus|minnesota|petulans|picatus|abieticola|columbiensis|kenaiensis|preblei|regalis|dixiensis|laurentianus|pallescens|ungavensis|murii,,North American Red Squirrel,Pine Squirrel,,,,,,,,,,,
Urocitellus,armatus,Urocitellus|Anisonyx,Spermophilus_armatus,,Uinta Ground Squirrel,,,,,,,,,,,,
Urocitellus,beldingi,Urocitellus|Anisonyx,Spermophilus_beldingi|oregonus|creber,,Belding’s Ground Squirrel,,,,,,,,,,,,
Urocitellus,brunneus,Urocitellus|Anisonyx,Citellus_townsendii_brunneus|endemicus,,Idaho Ground Squirrel,,,,,,,,,,,,
Urocitellus,canus,Urocitellus|Anisonyx,Spermophilus_mollis_canus|vigilis,,Merriam’s Ground Squirrel,,,,,,,,,,,,
Urocitellus,columbianus,Urocitellus|Anisonyx,columbianus|brachiura|erythrogluteia|albertae|ruficaudus,,Columbian Ground Squirrel,,,,,,,,,,,,
Urocitellus,elegans,Urocitellus|Anisonyx,Spermophilus_elegans|nevadensis|aureus,,Wyoming Ground Squirrel,,,,,,,,,,,,
Urocitellus,mollis,Urocitellus|Anisonyx,Spermophilus_mollis|stephensi|artemesiae|idahoensis|leurodon|pessimus|washoensis,,Piute Ground Squirrel,,,,,,,,,,,,
Urocitellus,parryii,Urocitellus|Anisonyx,parryii|phaeognatha|leucostictus|brunniceps|kennicottii|kodiacensis|barrowensis|beringensis|osgoodi|plesius|ablusus|buxtoni|nebulicola|stejnegeri|stonei|lyratus|janensis|coriakorum|tschuktschorum,,Arctic Ground Squirrel,,,,,,,,,,,,
Urocitellus,richardsonii,Urocitellus|Anisonyx,richardsonii,,Richardson’s Ground Squirrel,,,,,,,,,,,,
Urocitellus,townsendii,Urocitellus|Anisonyx,Spermophilus_townsendii|yakimensis|nancyae,,Townsend’s Ground Squirrel,,,,,,,,,,,,
Urocitellus,washingtoni,Urocitellus|Anisonyx,Citellus_washingtoni|loringi,,Washington Ground Squirrel,,,,,,,,,,,,
Xerospermophilus,mohavensis,Xerospermophilus,Spermophilus_mohavensis,,Mohave Ground Squirrel,,,,,,,,,,,,
Xerospermophilus,perotensis,Xerospermophilus,Spermophlus_perotensis,,Perote Ground Squirrel,,,,,,,,,,,,
Xerospermophilus,spilosoma,Xerospermophilus,spilosoma|obsoletas|canescens|cryptospilotus|macro-spilotus|major|obsidianas|pratensis|annectens|microspilotus|arens|marginatus|pallescens|cabrerai|ammophilus|oricolus|altiplanensis|bavicorensis,,Spotted Ground Squirrel,,,,,,,,,,,,
Xerospermophilus,tereticaudus,Xerospermophilus,Spermophilus_tereticaudus|neglectus|sonoriensis|chlorus|eremonomus|arizonae|vociferans|apricus,,Round-tailed Ground Squirrel,,,,,,,,,,,,
Napaeozapus,insignis,Napaeozapus,insignis|roanensis|algonquinensis|gaspensis,,Woodland Jumping Mouse,,,,,,,,,,,,
Zapus,hudsonius,Zapus,hudsonius|labradorius|canadensis|americanus|microcephalus|alascensis|tenellus|campestris|hardyi|ladas|australis|acadicus|brevipes|rafinesquei|ontarioensis|intermedius|preblei,,Meadow Jumping Mouse,Hudson Bay Jumping Mouse,,,,,,,,,,,
Zapus,princeps,Zapus,Zapus_princeps|chrysogenys,,Western Jumping Mouse,Pacific Jumping Mouse,,,,,,,,,,,
Zapus,trinotatus,Zapus,Zapus_trinotatus,,Pacific Jumping Mouse,Coast Jumping Mouse|Point Reyes Jumping Mouse,,,,,,,,,,,
