genus.x,Genus synonyms,Main common name,Other common names,Excluded names
Dipodomys,Dipodomys|Dipodops|Macrocolus|Perodipus,Agile Kangaroo Rat|California Kangaroo Rat|Gulf Coast Kangaroo Rat|Desert Kangaroo Rat|Texas Kangaroo Rat|San Quintin Kangaroo Rat|Heermann’s Kangaroo Rat|Giant Kangaroo Rat|Merriam’s Kangaroo Rat|Chisel-toothed Kangaroo Rat|Nelson’s Kangaroo Rat|San Joaquin Kangaroo Rat|Ord’s Kangaroo Rat|Plateau Kangaroo Rat|Panamint Kangaroo Rat|Phillips’s Kangaroo Rat|Dulzura Kangaroo Rat|Banner-tailed Kangaroo Rat|Stephens’s Kangaroo Rat|Narrow-faced Kangaroo Rat,Nimble Kangaroo Rat|Pacific Kangaroo Rat||||Loring’s Kangaroo Rat||Morro Bay Kangaroo Rat|Tulare Kangaroo Rat||Margarita Island Kangaroo Rat|San Bernardino Kangaroo Rat|San José Island Kangaroo Rat|Great Basin Kangaroo Rat|Houserock Chisel-toothed Kangaroo Rat|House Rock Valley Kangaroo Rat|Inyo Pocket Rat|Small-faced Kangaroo Rat||San Joaquin Valley Kangaroo Rat|Fresno Kangaroo Rat|Short-nosed Kangaroo Rat|Tipton Kangaroo Rat|Five-toed Kangaroo Rat|Ornate Kangaroo Rat|Mojave Kangaroo Rat|Southern Banner-tailed Kangaroo Rat|Cabezon Kangaroo Rat|San Borja Kangaroo Rat|Santa Catarina Kangaroo Rat|Bannertail Kangaroo Rat|Bonsall Relict Kangaroo Rat|Santa Cruz Kangaroo Rat|Big-eared Kangaroo Rat|Elephant-eared Kangaroo Rat,
Heteromys,Heteromys|Liomys|Xylomys,Desmarest’s Spiny Pocket Mouse|Gaumer’s Spiny Pocket Mouse|Goldman’s Spiny Pocket Mouse|Mexican Spiny Pocket Mouse|Nelson’s Spiny Pocket Mouse|Painted Spiny Pocket Mouse|Salvin’s Spiny Pocket Mouse|Jaliscan Spiny Pocket Mouse,|||Guerrero Spiny Pocket Mouse||||,
Microdipodops,Microdipodops,Dark Kangaroo Mouse|Pallid Kangaroo Mouse,Owyhee River Kangaroo Mouse|Pale Kangaroo Mouse|Soda Spring Valley Kangaroo Mouse,
Perognathus,Perognathus|Abromys|Cricetodipus|Otognosis,White-eared Pocket Mouse|Arizona Pocket Mouse|Olive-backed Pocket Mouse|Plains Pocket Mouse|Silky Pocket Mouse|San Joaquin Pocket Mouse|Little Pocket Mouse|Merriam’s Pocket Mouse|Great Basin Pocket Mouse|Columbia Plateau Pocket Mouse,Tehachapi Pocket Mouse|||Apache Pocket Mouse|Baird’s Pocket Mouse|Salinas Pocket Mouse|Los Angeles Little Pocket Mouse|Los Angeles Pocket Mouse|||,
Ammospermophilus,Ammospermophilus,Harris’s Antelope Squirrel|Texas Antelope Squirrel|White-tailed Antelope Squirrel|Nelson’s Antelope Squirrel,|||,
Callospermophilus,Callospermophilus,Common Golden-mantled Ground Squirrel|Sierra Madre Ground Squirrel|Cascade Golden-mantled Ground Squirrel,Green River Basin Golden-mantled Ground Squirrel|Sierra Madre Golden-mantled Ground Squirrel|,
Cynomys,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Gunnison’s Prairie Dog|White-tailed Prairie Dog|Black-tailed Prairie Dog|Mexican Prairie Dog|Utah Prairie Dog,||Arizona Black-tailed Prairie Dog|Mexican Prairie Marmot|,
Glaucomys,Glaucomys,Humboldt’s Flying Squirrel|Northern Flying Squirrel|Southern Flying Squirrel,Bachman’s Flying Squirrel|California Coast Flying Squirrel|Cascade Flying Squirrel|Klamath Flying Squirrel|Okanagan Flying Squirrel|Yellow-bellied Flying Squirrel|Carolina Flying Squirrel|Alaska Coast Flying Squirrel|Atnarko Flying Squirrel|Bangs Flying Squirrel|Broad-footed Flying Squirrel|Cascade Flying Squirrel|Hudson Bay Flying Squirrel|Labrador Flying Squirrel|Mearns’s Flying Squirrel|Okanagan Flying Squirrel|Richardson Flying Squirrel|Sierra Flying Squirrel|Yukon Flying Squirrel|Mexican Flying Squirrel|Florida Flying Squirrel|Small Eastern Flying Squirrel|Southeastern Flying Squirrel|Texas Flying Squirrel,
Ictidomys,Ictidomys|Ictidomoides,Mexican Ground Squirrel|Rio Grande Ground Squirrel|Thirteen-lined Ground Squirrel,||,
Marmota,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,Alaska Marmot|Hoary Marmot|Yellow-bellied Marmot|Woodchuck|Olympic Marmot|Vancouver Island Marmot,|||Groundhog||,
Neotamias,Neotamias,Alpine Chipmunk|Yellow-pine Chipmunk|Buller’s Chipmunk|Gray-footed Chipmunk|Gray-collared Chipmunk|Cliff Chipmunk|Durango Chipmunk|Merriam’s Chipmunk|Least Chipmunk|California Chipmunk|Yellow-cheeked Chipmunk|Palmer’s Chipmunk|Panamint Chipmunk|Long-eared Chipmunk|Colorado Chipmunk|Red-tailed Chipmunk|Hopi Chipmunk|Shadow Chipmunk|Siskiyou Chipmunk|Sierra del Carmen Chipmunk|Sonoma Chipmunk|Lodgepole Chipmunk|Townsend’s Chipmunk|Uinta Chipmunk,||||||||Peñasco Least Chipmunk|Selkirk Least Chipmunk||Redwood Chipmunk|||||||Allen’s Chipmunk||||||Hidden Forest Uinta Chipmunk|Mount Ellen Uinta Chipmunk,
Notocitellus,Notocitellus,Tropical Ground Squirrel|Ring-tailed Ground Squirrel,|,
Otospermophilus,Otospermophilus,Baja California Rock Squirrel|California Ground Squirrel|Common Rock Squirrel,|Beechey’s Ground Squirrel|Gray Digger|,
Poliocitellus,Poliocitellus,Franklin’s Ground Squirrel,,
Sciurus,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,Abert’s Squirrel|Allen’s Squirrel|Arizona Gray Squirrel|Red-bellied Squirrel|Eastern Gray Squirrel|Collie’s Squirrel|Deppe’s Squirrel|Western Gray Squirrel|Mexican Fox Squirrel|Eastern Fox Squirrel|Peters’s Squirrel|Variegated Squirrel|Yucatan Squirrel,Tassel-eared Squirrel|Kaibab Squirrel|||Mexican Gray Squirrel|Mexican Red-bellied Squirrel||||Silver Gray Squirrel|Apache Squirrel|Chiricahua Fox Squirrel|Nayarit Squirrel|Bryant’s Fox Squirrel|Cat Squirrel|Delmarva Fox Squirrel|Fox Squirrel|Stump-eared Squirrel|Western Fox Squirrel|Big Cypress Fox Squirrel|||,
Tamias,Tamias,Eastern Chipmunk,,
Tamiasciurus,Tamiasciurus,Douglas’s Squirrel|Fremont’s Squirrel|North American Red Squirrel,Chickaree|Mearn’s Squirrel|Southwestern Red Squirrel|Mount Graham Red Squirrel|Pine Squirrel,
Urocitellus,Urocitellus|Anisonyx,Uinta Ground Squirrel|Belding’s Ground Squirrel|Idaho Ground Squirrel|Merriam’s Ground Squirrel|Columbian Ground Squirrel|Wyoming Ground Squirrel|Piute Ground Squirrel|Arctic Ground Squirrel|Richardson’s Ground Squirrel|Townsend’s Ground Squirrel|Washington Ground Squirrel,||||||||||,
Xerospermophilus,Xerospermophilus,Mohave Ground Squirrel|Perote Ground Squirrel|Spotted Ground Squirrel|Round-tailed Ground Squirrel,|||,
Napaeozapus,Napaeozapus,Woodland Jumping Mouse,,
Zapus,Zapus,Meadow Jumping Mouse|Western Jumping Mouse|Pacific Jumping Mouse,Hudson Bay Jumping Mouse|Pacific Jumping Mouse|Coast Jumping Mouse|Point Reyes Jumping Mouse,
